"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44";"V45";"V46";"V47";"V48";"V49";"V50";"V51";"V52";"V53";"V54";"V55";"V56";"V57";"V58";"V59";"V60";"V61";"V62";"V63";"V64";"V65";"V66";"V67";"V68";"V69";"V70";"V71"
3,69144842892196e-43;2,00272417636293e-41;7,40578648782546e-40;1,90168006134004e-38;3,50753428076834e-37;4,8747151489365e-36;5,31464226089096e-35;4,54678253884068e-34;2,93278631682031e-33;1,35950907280688e-32;4,3787591506202e-32;9,72813650441889e-32;2,2039915235562e-31;3,55657640606012e-30;1,00381373003341e-28;1,97445991678995e-27;2,60566693769783e-26;2,30505166185219e-25;1,36686252417334e-24;5,43314407053308e-24;1,44763746319506e-23;2,58553614305958e-23;3,09544876344992e-23;2,48415582079827e-23;1,33633780591686e-23;4,81876651175614e-24;1,16476341004549e-24;1,88721666172929e-25;2,04968919790031e-26;1,49223241513612e-27;7,28227599379324e-29;2,38220979654946e-30;5,22366221071833e-32;7,67807539580587e-34;7,56506018438228e-36;5,00143643785836e-38;4,11295992303969e-40;4,77672268383274e-40;8,02359607659246e-40;9,05209355906795e-40;7,30086030247723e-40;2,92897873329094e-39;9,65454150332762e-38;2,41343295345223e-36;4,04893591166385e-35;4,55337590843559e-34;3,43248271116778e-33;1,73446451494311e-32;5,87495692941643e-32;1,33390887537498e-31;2,03015802701918e-31;2,07116993963106e-31;1,41639319363435e-31;6,49283154333791e-32;1,99510908658649e-32;4,10942790039109e-33;5,67385575991099e-34;5,25118627290152e-35;3,25775758331279e-36;1,35475983328033e-37;3,77648763208514e-39;7,056608585655e-41;8,83865531838831e-43;7,4209340927199e-45;4,17650646746977e-47;1,57561442881896e-49;3,98445519401298e-52;6,75414146900837e-55;7,67456141093435e-58;5,84546662932066e-61;2,98446859135599e-64
6,3966995099436e-40;3,45971681303761e-38;1,27076529522505e-36;3,21761984924336e-35;5,77880081214998e-34;7,69703090560513e-33;7,96432137362673e-32;6,50069665499377e-31;4,06188725692873e-30;1,85011026517772e-29;5,90656644082248e-29;1,2964363720435e-28;2,25161681583291e-28;1,68266638700432e-27;4,3955470336965e-26;8,62935186349301e-25;1,1387536844693e-23;1,00737489499993e-22;5,97358828547377e-22;2,37444257796284e-21;6,32659834784487e-21;1,12995477851663e-20;1,35280148038256e-20;1,08564861791847e-20;5,84018635191585e-21;2,10594164816873e-21;5,09035615129629e-22;8,24768777934681e-23;8,95774019581355e-24;6,52149130719617e-25;3,18256721328453e-26;1,04109522903629e-27;2,28289288945802e-29;3,35554314062855e-31;3,30617999672733e-33;2,20131902808952e-35;7,61674036092606e-37;1,66897726385646e-36;2,80678979770833e-36;3,16537191766256e-36;2,45265625432775e-36;4,60242708761653e-36;1,27012328412358e-34;3,16867457087933e-33;5,31588228842056e-32;5,97816484221473e-31;4,50653489784021e-30;2,27719278530314e-29;7,71327946946824e-29;1,75129997822695e-28;2,66541123921718e-28;2,71925611797173e-28;1,85959432084546e-28;8,52449215264607e-29;2,61939519588033e-29;5,39530182708855e-30;7,4492520832817e-31;6,89432582327852e-32;4,2771368344937e-33;1,77867537305323e-34;4,95818179932714e-36;9,26467968731362e-38;1,16043435592987e-39;9,74300565422853e-42;5,48336983175744e-44;2,06863719540739e-46;5,23122412882942e-49;8,86756811202038e-52;1,00759950548291e-54;7,67456141093457e-58;3,9183334600661e-61
7,43433637625151e-37;4,01131165366444e-35;1,46561384820832e-33;3,6696347818925e-32;6,44689829837271e-31;8,27046640465852e-30;8,13554598868335e-29;6,31474972749397e-28;3,80255148971923e-27;1,69505735154753e-26;5,35250593753253e-26;1,16571542426168e-25;1,81879608803144e-25;6,08270051440537e-25;1,29538679674714e-23;2,52830997071159e-22;3,33598285154488e-21;2,95109922251532e-20;1,74995928566918e-19;6,95591599623873e-19;1,85337337935166e-18;3,31019608204713e-18;3,9630242247645e-18;3,18040143715419e-18;1,7108792624352e-18;6,16934405281182e-19;1,49121693262499e-19;2,41615543313882e-20;2,62416488375787e-21;1,91046716068797e-22;9,32331250821897e-24;3,04988253841299e-25;6,68772170604005e-27;9,83004528476601e-29;9,6860881884928e-31;6,81327374631889e-33;1,58769218100335e-33;3,91300376885728e-33;6,58164449535815e-33;7,42142210067116e-33;5,66207557641912e-33;5,82541998553676e-33;1,12382348952101e-31;2,78878860013566e-30;4,67834383681879e-29;5,26119592660979e-28;3,96606041783642e-27;2,00408614910993e-26;6,78821602138195e-26;1,54126433736824e-25;2,34574506852049e-25;2,39313226226575e-25;1,63657080130461e-25;7,50213893244632e-26;2,30524778797254e-26;4,74823639514239e-27;6,55585377649121e-28;6,06748053087634e-29;3,76417435676741e-30;1,56535656616495e-31;4,36354073002843e-33;8,15355483168159e-35;1,02126198303408e-36;8,57451455509214e-39;4,82574229164599e-41;1,82054289720415e-43;4,60383674458093e-46;7,80406935428504e-49;8,86756811202013e-52;6,75414146900818e-55;3,44840272882929e-58
5,79429023726114e-34;3,12059776640896e-32;1,13548661488243e-30;2,81793035557949e-29;4,86229284714115e-28;6,03886060837239e-27;5,66502585933319e-26;4,17369537997145e-25;2,40999822295286e-24;1,04665573129882e-23;3,26005790600336e-23;7,04758669616431e-23;1,05667465827243e-22;1,8894129230648e-22;2,59019883666052e-21;4,96692357739103e-20;6,55092811407012e-19;5,79507113128143e-18;3,43639288511442e-17;1,36593235729446e-16;3,63946699484575e-16;6,50022792021647e-16;7,78218573033166e-16;6,24535033782654e-16;3,35965147506379e-16;1,21147332265303e-16;2,92830083182062e-17;4,74460141236044e-18;5,15306931126105e-19;3,75158198208004e-20;1,83081771510484e-21;5,98905053906328e-23;1,31326707879349e-24;1,93032599878948e-26;1,9030819243222e-28;1,91089104260091e-30;2,4566405403013e-30;6,15048677287389e-30;1,03452641256286e-29;1,16646295641526e-29;8,84725393149613e-30;6,22653602408132e-30;6,7244919215967e-29;1,64539934310674e-27;2,75988794631154e-26;3,10372528618893e-25;2,33968893096002e-24;1,18226594789558e-23;4,00455671658439e-23;9,09234537439398e-23;1,38382001102346e-22;1,41177502960197e-22;9,65458461234413e-23;4,42571962295342e-23;1,3599295431434e-23;2,80111621200687e-24;3,86747979010961e-25;3,57937488084228e-26;2,2205907495146e-27;9,23447210745828e-29;2,57417358014002e-30;4,8100079111216e-32;6,0247074057004e-34;5,05834371576973e-36;2,84683908786127e-38;1,07398869804156e-40;2,71593085716444e-43;4,60383674458106e-46;5,23122412882934e-49;3,98445519401303e-52;2,03430831690149e-55
3,02821776299964e-31;1,62854596046478e-29;5,90679104224919e-28;1,45567282461573e-26;2,47552553529083e-25;2,99155378781537e-24;2,68762666901482e-23;1,87905141986144e-22;1,03580842176888e-21;4,36113335605828e-21;1,33546356319064e-20;2,86225407775377e-20;4,222735199575e-20;5,29499377440825e-20;3,59701322112317e-19;6,54640622261833e-18;8,6232833389797e-17;7,62809571256541e-16;4,52334683754539e-15;1,79798583076528e-14;4,79065456725926e-14;8,55629316547461e-14;1,0243742741664e-13;8,22079611167697e-14;4,42233154087655e-14;1,5946703774079e-14;3,85454182549977e-15;6,24535033782654e-16;6,78301934490986e-17;4,93823226923316e-18;2,40991751293189e-19;7,88342698508316e-21;1,72866218485009e-22;2,54091390304827e-24;2,51584958942334e-26;8,55231566009701e-28;2,58327162309813e-27;6,48034403058874e-27;1,09001153916662e-26;1,22899948109851e-26;9,30096209147912e-27;5,40181850891382e-27;2,75896288564372e-26;6,5088456661457e-25;1,09137457308487e-23;1,22733830529089e-22;9,2520745247095e-22;4,67515681694451e-21;1,58356338230505e-20;3,59548040224573e-20;5,47218294619823e-20;5,58272837458297e-20;3,8178124934921e-20;1,75010819705295e-20;5,37771039205931e-21;1,10767442612185e-21;1,52935763203423e-22;1,41542932064619e-23;8,78111223510362e-25;3,65168304989339e-26;1,01793214822628e-27;1,90207129920395e-29;2,38241251453825e-31;2,00027330122016e-33;1,12575509698283e-35;4,24698486148208e-38;1,07398869804153e-40;1,82054289720415e-43;2,06863719540733e-46;1,57561442881891e-49;8,04447629776967e-53
1,06113216110404e-28;5,70031926659332e-27;2,06238134458219e-25;5,05476772357703e-24;8,49697479488221e-23;1,00375355024036e-21;8,67863766757119e-21;5,76628449136052e-20;3,02396999278559e-19;1,22798419837775e-18;3,68253312753112e-18;7,80925882772732e-18;1,14181939914783e-17;1,22805436426597e-17;3,6813547257359e-17;5,79895649534955e-16;7,60941058828297e-15;6,73063910266604e-14;3,99116046308207e-13;1,58644691422653e-12;4,2270183765455e-12;7,54961726772987e-12;9,03853287784314e-12;7,25359254047087e-12;3,90202975972452e-12;1,40705218776144e-12;3,4010423628758e-13;5,5105644280289e-14;5,98497491650732e-15;4,35723307872126e-16;2,12638282928881e-17;6,95591599630982e-19;1,5252794942063e-20;2,24205870888604e-22;2,29620116113431e-24;5,01837094114822e-25;1,82403922223858e-24;4,5768822145922e-24;7,69844243101044e-24;8,68000910619378e-24;6,56349236005537e-24;3,50802131506675e-24;8,01827936050931e-24;1,72691513692571e-22;2,89294859618754e-21;3,25332560476003e-20;2,45246225283619e-19;1,23925132477784e-18;4,19757688611901e-18;9,53059763796197e-18;1,45052032070478e-17;1,47982277491905e-17;1,01199368824067e-17;4,63903990092464e-18;1,42547832907644e-18;2,93613038820455e-19;4,05389283344734e-20;3,75190122900594e-21;2,327623520748e-22;9,67957489857585e-24;2,69824909111764e-25;5,04185093599886e-27;6,3150991087386e-29;5,30215655965744e-31;2,98405711279269e-33;1,12575509698286e-35;2,84683908786123e-38;4,82574229164613e-41;5,48336983175728e-44;4,17650646746977e-47;2,13236224995904e-50
2,49299603802419e-26;1,33806669417149e-24;4,83179642253339e-23;1,17918542590121e-21;1,96402894431585e-20;2,27739883130679e-19;1,90482140929759e-18;1,20627007731885e-17;6,00558214107868e-17;2,34029597884837e-16;6,84254790184625e-16;1,43194265224715e-15;2,07778737734056e-15;2,1091009998148e-15;3,09843472394184e-15;3,47109182202644e-14;4,50186320053614e-13;3,98089317417001e-12;2,3605909473272e-11;9,38311484413025e-11;2,50008987963568e-10;4,46525660487431e-10;5,34588273813663e-10;4,29017138905752e-10;2,3078738350713e-10;8,32207627484553e-11;2,01156248531644e-11;3,25924922233819e-12;3,53984153476586e-13;2,57710597686418e-14;1,25765911519076e-15;4,11410920026331e-17;9,02134072459378e-19;1,32651002402877e-20;1,71955898502683e-22;2,31539767521231e-22;8,63524619723356e-22;2,16682445567966e-21;3,64465868407281e-21;4,10934821045771e-21;3,10636182737828e-21;1,60622402090641e-21;1,7585018917428e-21;3,07602971075585e-20;5,1403883296376e-19;5,78060157122529e-18;4,3576038775233e-17;2,20193658917569e-16;7,45837260486628e-16;1,69342337875997e-15;2,57732527985836e-15;2,62939070419626e-15;1,79813883234149e-15;8,24277649906679e-16;2,53282996520428e-16;5,21699900819226e-17;7,20307074112775e-18;6,66648356939236e-19;4,13578690100776e-20;1,71989407719976e-21;4,79432483270077e-23;8,95850246917802e-25;1,12208456134236e-26;9,42102081846833e-29;5,30215655965744e-31;2,00027330122022e-33;5,05834371576973e-36;8,5745145550925e-39;9,74300565422853e-42;7,4209340927199e-45;3,78884118628855e-48
3,92666180444894e-24;2,10615873676523e-22;7,59402888580726e-21;1,84713308661511e-19;3,05431110098215e-18;3,48884110435868e-17;2,83716760447849e-16;1,71946974040603e-15;8,12312972084006e-15;3,02383322070335e-14;8,57780989500479e-14;1,76576168801721e-13;2,54059101100423e-13;2,52197523139163e-13;2,34927710503762e-13;1,42634490373011e-12;1,78633547765315e-11;1,57831104129831e-10;9,35889601331221e-10;3,72006672474869e-09;9,91195486076055e-09;1,7703132299293e-08;2,11944973701953e-08;1,70089825529451e-08;9,14988755350163e-09;3,29940315494532e-09;7,97511989944586e-10;1,29217479049545e-10;1,40341952441787e-11;1,02172959125539e-12;4,98616488900319e-14;1,63109595208725e-15;3,57664737252453e-17;5,27290259143464e-19;1,828830463343e-20;7,32391354227101e-20;2,74037034202783e-19;6,87638116858841e-19;1,15662633153223e-18;1,30409338326187e-18;9,85682045442889e-19;5,03232775282106e-19;3,15373391870923e-19;3,6877984372947e-18;6,12279405407091e-17;6,88495169360886e-16;5,19009580167075e-15;2,62260226306013e-14;8,88324621496061e-14;2,0169409087805e-13;3,06970652311742e-13;3,13171870837264e-13;2,14166156916413e-13;9,81750537486134e-14;3,01671066779707e-14;6,21367276055202e-15;8,5791705894886e-16;7,94007192616919e-17;4,92590210768391e-18;2,04846866210804e-19;5,71024943102535e-21;1,06699661396631e-22;1,33645152374003e-24;1,12208456134233e-26;6,31509910873847e-29;2,38241251453828e-31;6,02470740570023e-34;1,02126198303408e-36;1,16043435592984e-39;8,83865531838805e-43;4,5126746691592e-46
4,14629127737434e-22;2,22282150031803e-20;8,00540063137342e-19;1,94215677979439e-17;3,19321414440766e-16;3,60392612547083e-15;2,86296643141917e-14;1,66855130154429e-13;7,48863061110241e-13;2,65322414369838e-12;7,26495719034913e-12;1,46549924224485e-11;2,08696271454101e-11;2,0492354829204e-11;1,53903282890366e-11;4,19970516408833e-11;4,7596205082433e-10;4,19473157325249e-09;2,48720228702092e-08;9,88636507486121e-08;2,63417859576033e-07;4,7047442006935e-07;5,63260144598592e-07;4,52026854183194e-07;2,43165331851265e-07;8,7684188291074e-08;2,11944973701915e-08;3,43405435207143e-09;3,72969582834945e-10;2,71532533779396e-11;1,32511184738836e-12;4,3347636545364e-14;9,5054524214123e-16;1,43060401613627e-17;2,92616673936675e-18;1,5573422997663e-17;5,82944852331702e-17;1,4627778149691e-16;2,46043273532764e-16;2,77413083005561e-16;2,09669844073736e-16;1,06531239223691e-16;4,77123550493932e-17;2,99556063194758e-16;4,88910107165642e-15;5,49681803914081e-14;4,1436704748773e-13;2,09383407114629e-12;7,09220908062715e-12;1,61028595652207e-11;2,45079331937325e-11;2,50030262854943e-11;1,70986047901554e-11;7,83810322073476e-12;2,40848247069193e-12;4,96087413425394e-13;6,84944108111663e-14;6,33919727680358e-15;3,93274337023478e-16;1,63545709474659e-17;4,55895084825584e-19;8,51869113089561e-21;1,06699661396633e-22;8,95850246917792e-25;5,04185093599885e-27;1,90207129920399e-29;4,81000791112154e-32;8,15355483168183e-35;9,26467968731337e-38;7,05660858565491e-41;3,60283070982609e-44
2,93507127182348e-20;1,57286508305305e-18;5,65954370457403e-17;1,37028315623713e-15;2,24296824414185e-14;2,50741948345334e-13;1,95405123410169e-12;1,10079246897347e-11;4,7063266304359e-11;1,58335867645359e-10;4,16357969283724e-10;8,19450550292509e-10;1,15208363228767e-09;1,12215042676355e-09;7,74809563088823e-10;9,71743597643388e-10;8,54608407207424e-09;7,47396387550387e-08;4,43078842046862e-07;1,76118424813645e-06;4,69259772097978e-06;8,38115984354685e-06;1,00340700870784e-05;8,05252986494035e-06;4,33181364940949e-06;1,56203008374974e-06;3,77564566057164e-07;6,11751823414367e-08;6,64418203630772e-09;4,83715473390003e-10;2,3605904449469e-11;7,72206820347652e-13;1,69366329988838e-14;2,96616587286616e-16;4,00076488881512e-16;2,22056005614834e-15;8,3124314270237e-15;2,08583041172826e-14;3,50842442795545e-14;3,95573785372395e-14;2,98971203730323e-14;1,51629224047147e-14;5,76657011520877e-15;1,6762785311036e-14;2,61761798975594e-13;2,94174540810193e-12;2,2175696249594e-11;1,12055789700124e-10;3,79553996143062e-10;8,61777286548981e-10;1,31159189960918e-09;1,33808781353428e-09;9,15066617806856e-10;4,19472038345497e-10;1,28894838820881e-10;2,65491270841855e-11;3,66561772777924e-12;3,39255037637878e-13;2,10468761552936e-14;8,75248133171837e-16;2,43981528587623e-17;4,55895084825642e-19;5,71024943102598e-21;4,79432483270093e-23;2,6982490911177e-25;1,01793214822632e-27;2,57417358014e-30;4,36354073002843e-33;4,95818179932697e-36;3,77648763208505e-39;1,92812814413621e-42
